NT_GER
42,8
59,3
60,9
25
42,4
40
55,1
38,7
50
50,6
57,7
41,1
43,5
42,1
55,1
51,8
36,4
38,9
58,3
55,7
27,3
51,5
49,1
45
40,1
48,8
57,7
50,8
30,2
45,4
52,4
50,5
53,4
49,6
52,8
48,8
46,5
57,6
62,7
40,1
58,9
50,5
22,5
56,5
22,6
32,6
55,1
28,9
36
38,9
42,1
24
38,5
69,1
42,2
62,3
35,5
51,5
47,5
49,9
45,5
25,1
12,3
69,6
82,8
74,3
41,8
39,6
36
39,1
43,8
60,7
67,6
35,6
26,2
36,5
33
26,6
38,6
46,5
27,5
46,5
30,3
30,9
49,9
15,4
53,5
35,4
50,3
27,9
34,5
60,4
31
32,5
27,8
45
45,5
30,4
31
23,1
38,1
27,3
45,6
43,5
71
35,8
40,7
41,2
15,6
25,4
51,8
23,1
46,6
76,2
37,7
49,1
10,1
20
17,4
20,6
51,6
23,9

38,5
25,1
25,5
40,7
36,3
33,8
24,2
56,1
49,8
47
52,5
37
48,2
25,6
42,1
62,9
40,6
40,6
31,4
58
38,7
28,1
36,9
48,5
61,7
30
32,2
57
40,6
33,9
59,3
47,9
38,9
36,8
42,9
35,4
28,1
24,9
25,6
48,7
35,7
33,9
23,5
32,2
20,9
48,9
39,4

16,6

52,8
47,6

58,7
38,3


78,4
56,2
60,5
54,3
62,4
46,1
61
64,4
60,2

69,2


54,3
78,5

74,5
53,9
79,9
69,6
46,7

61,9
54,8
59,9


60,5
69,4
75,2
61

47,8
64,6
66,9
56,3
66,8
35

39,2
60,1
24
28,4
30,6
34,5
11,9
36,1
29,1




22,2
29,1
34,1
25,8
32,2
35,4
18,3
22,1
30,5
34,1
34,7
60,2
51,4

37,8
46,1
40,6
57,8
24,9
31,5
40,9
41,5
72,9
57,4
18,1
49,8

36,8
50,3
23,5
51,7
41,4

27,1
48
18
46,3
40,4
40,2
32,2
28
22,4

34,6

49,6
26,6

28,1
28,4
22,4
29,9
32,9
25,6
61,8
29,6
32,3
34
30
34,2
61
25,4
37,4
23,3
53,2
46
58,6
66,9
54,1
53,2

38
26,8

41,6
58
34,1
33,6

10,1
20,9
37,5

38,8
35,7
26,6
54
44,5
39
44,5
42,1
19,3
44,3
38,4
26,2
41,4
23,2
42,4
32,7
39,3
39,5
31,4
54,3
51,8



33,4
28,2

27,9
37,9
31,3


36,6

29,9
39,7
17,9
19,7

31,7


30,4
26,4
31,6
20,8
33,7
35
25,4

21,7
26,4
30,7
13
33,6

38,5
22,6
31,3
41,8
30,5
24,7
32
43
32,6
28,8
20,5
37,6
68,2
35,6
30,8
50,3
55,7
31,2
51,7
65,7
26,9
40,9
63,5
34,2
38,2
22,7
42,8
60
43,9
46
32,9
41,3
17,6
54,5
25,5
42,1
47,1
43
42,4
40
19,2
34,9
32,5
23
26,9
57,3
26,8
32

42,9
39,7
42,5
36,1
41,2
41,1
35
40,8
41,9
36,1
38,4
17,9
39,1
15,5
35,4
28,8
32,4
35,1
54,8

22,9
47,4
19,8
33,3
45,1
35,9
23,5
27,4
43,2
39,5
36,4
34,3
21,3
43,5
20,7
38,5
42,9
38,2
20,7
39,6
46,4
41,7
15,6
20,5
30,2
40,1
48,5
