QE_I02
D
A
A
A
B
A
A
A
A
D
E
A
A
D
A
A
B
D
A
A
A
A
A
A
A
A
A
A
A
B
A
A
A
A
A
A
B
A
A
A
A
B
D
D
A
A
A
A
A
A
A
A
D
A
A
A
A
A
D
D
D
A
A
A
D
A
A
A
D
D
A
A
A
A
B
A
A
D
D
A
D
D
A
A
A
A
A
A
A
A
A
D
A
D
A
A
A
A
A
A
D
A
A
A
A
A
D
A
D
A
D
A
A
A
A
A
A
A
A
A
A
A

D
D
A
A
A
A
D
A
A
D
A
C
A
A
A
A
A
B
A
A
D
A
A
A
D
C
A
A
A
A
A
A
A
D
A
A
A
A
A
A
A
A
A
A
A
A
D

A
A
A
A
A
A
A
D
A
A
A
A
D
A
A
A
A
A
A
A
A
D
D
A
A
A
A
A
A
A
A
A
A
A
A
A
D
D
D
A
A
A
A
A
A
B
A

D
D
D
A
D
D
A
A
D


B
D
D
B
B
B
D
D
B
B
D
B
D
B
B
B
B
F
D
A
E
B
A
D
B
B
D
D
D
B
A
D
F
B
B
B
B
B
D
D
D
B
A
A
D
D
A
D
B

D
D
B
B
B
D
D
F
B
A
A
B
D
D
B
A
B
A
B
B
D
A
B
D
D
D
A
A
D
A

B
B
A
B
A
D
A
A
A
C
B
D
B
A
A
A
A
D
A
A
B
D
A
B
A



B
A

B
B
D


A

A
D
D
D

D
D
B
D
A
D
D
D
B
B

D
D
D
D
B

B
B
B
D
D
A
A
D
D
D
D
B
D
D
D
A
B
B
D
D
D
D
B
D
D
B
D
B
B
B
D
F
D
D
D
D
D
D
A
D
D
D
D
D
C
D
D
D
D
B
D
B
B
B
B
B
D
B
B
D
B
A
A
B
B
D
C
A

D
D
D
A
D
D
D
D
D
D
A
D
A
B
D
D
D
A
A
D
B
D
A

D
A
A
D
D
A
D
D
D
D
A
F
A
D
D
D
D
D
A
D
B
A
A
D
A
D
C
D
D
A
A
D
A
D
D
A
A
D
A
D
C
A
A
D
A
D
D
B
A
D
D
A
D
D
A
D

D
D
A
D
B
A
D
A
D
D
A
D
D
D
A
D
D
B
B
A
D
A
A
D
D
D
A
B
D
D
A
A
D
D
D
B
D
A
D
A
A
D
D
D
A
A
D
D
D
A
D
A
A
A
D
D
D
D
C
D
D
B
A


A
D
C
D
E
D
B
A
B
A
D
D
B
D
D
A
A
A
D
A
A
D
B
D
D
D
D
D
D
D
A

A
C
A
A
A
A
A
A
D
A
A
A
A
D
A
A
D
A
D
C
A
D
B
D
D
A
D
A
D
A
A
A
D
A
D
A
A
A
D
D
D
A
A
A
D
B
A
D
A
A
B
A
A
A
A
A
B
A
A
A
D
A
D
D
A
A
A
D
A
D
D
D
A
D
A
A
A
A
A
D
D
C
D
D
A
D
A
D
D
C
A
A
D
D
D
D
D
D
D
A
D
D
A
A
D
D
D
D
D
A
D
C
D
A
D

D
D
D
D
D
A
D
A
F
D
D
A
B
B
D
A
B
A
B
A
A
A
D
A
D
D
D
A
A
A
C
D
D
A
D
D

A
D
D
D
D

D
A
D

D

E
A
F
A
D
A
D
D
D
D

A
D
D
D
B
D
A
A
D
D
D
D
D
A
A
E
C
A
A
D
A
D
A

B
A
D

D
D
D
B
D
A
B
A
D
D
D
D

A
A
D
D
F
B
F
D
D
D
D
D
A
C
B
D
D
B
B
B
D
A
D
D

D

A
D
A
A
D
A

D
A
D
A
D
D
B
D
A
D
D
A
D
D
A
A
D
D
A
A
A
A
A
B
D
A
D
C
D
D
A

D
D
B
B
D
D
D
B
D
B
B
B
D
A
B
B
D
D
A
D
A
B
D
D
D
D
D
A
A
A
D
B
A
D
F
D
A
D
A
D
D
D
A
A
D
D
A
B
D
A
D
A
D
B
D
D
C
A
D
D
B
D
A
A
D
A
D
D
A
A
F
C

A
C
D
B
A
A
B

B
A
A
A
A
A
A
A
F
B
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
D
B
A
C
A
A
A
A
A
A
A
A
A
D
D
D
D
B
D
A

D
A
D
D
D
D
D
D
D
D
D
D
A
A
D
D
A
B
D
A
D
D
D
D
D
D
D
D
D
D
B
D
D
D
C
D
D
D
D
D
A
D
A
B
D
D
A
A
D
D
D

D
D
D
D
B
D
C
D
D
D
F

D
B
B
D
D
D
D
A
D
D
B
D
D
D
A
D
D
A
D
D
B
D
D
B
A
D
D
A
D
D
D
B
D
D
D
D
D
D
B
B
A
A
B
D
A

D
A
D
B

B
D
D
D
D
A
D
A
D
D
B
D
D
A
A
D
D
A
D
D
B
A



D


D
A
A
D
B
A
D
A
D
D
B
D
D
D
D
A
A
D
A
D
D
D
D
D
D
D
C
B
B
D
B
D
D
D
D
D
D
A
D
D
B
D
B
D
C
A
D
D
D
B
A
D
A
B
D
D
D
B
C
B
A
D
A
B
D
A
B
D
A
D
D
D
D
D
B
D
D
A
D
D
D
D
A
B
D
D
D
D
D
D
D
D
D
B
D
D
D
D
D
D

B
D
D
B
B
D
B
D
A
D
D
D
D
D
D
B
D

A
D
D
A
D
B
A
D
C
B
D
A
D
D
D
D
D
D
D
D
D
A
D

A
D
B

B

D
D
A
D
D
D
D
D
D
B

B
D
A
D
F
F
B
B
A
A
A
D
D
D
D
D
A
A
D

D
A
B
A

D
D
B
A
D
A
D
